batch_size,method, score, level, clears, time, mps, cliff_l_e, cliff_h_e, cliff_l_w, cliff_h_w, m_stack_w, m_stack_e, a_stack_w, a_stack_e, stack_d_w, stack_d_e, stack_d_thresh, score_w, go_w
5,greedy,20880,7.6,72,87.64675403,8,0.558543451,2.644683066,-10,-5.618595416,-6.974377163,4.245647627,-8.852896064,3.220685607,-3.945996189,2.944963173,6.376860326,6.421766121,-1.55684767
5,greedy,15360,4.4,44.8,48.69562583,4,0.948796008,2.724934933,-9.534075032,-6.336727757,-8.260608586,3.885985893,-8.962188325,2.669654464,-5.672792074,3.162150183,7.567193852,6.959969521,-2.475456669
5,greedy,25680,7.6,76.6,89.67053905,8,0.948796008,2.724934933,-9.534075032,-6.336727757,-8.260608586,3.885985893,-8.962188325,2.669654464,-5.672792074,3.162150183,7.567193852,6.959969521,-2.475456669
5,greedy,12380,4,39.4,44.52376709,4,0.277248958,2.339036656,-10,-4.950616978,-8.037452732,3.561185535,-8.51782106,2.010385633,-4.445561129,2.410687372,8.179606044,7.052490498,-3.986724811
5,greedy,20320,7.4,68.8,82.61314492,8,0.277248958,2.339036656,-10,-4.950616978,-8.037452732,3.561185535,-8.51782106,2.010385633,-4.445561129,2.410687372,8.179606044,7.052490498,-3.986724811
5,greedy,9440,3.6,33.8,41.38388858,4,0.665401888,2.083984686,-10,-6.329966011,-7.038465736,3.397973681,-8.639275898,2.813876345,-5.237578735,3.09288351,6.499557843,8.039572561,-3.499891798
5,greedy,23800,8,78.2,92.02505193,8,0.665401888,2.083984686,-10,-6.329966011,-7.038465736,3.397973681,-8.639275898,2.813876345,-5.237578735,3.09288351,6.499557843,8.039572561,-3.499891798
5,greedy,10020,3.6,35.8,41.17686663,4,1.050940462,2.329442515,-9.955827761,-5.648880645,-5.452796726,3.48862515,-7.453669884,2.127894027,-5.553637308,2.952067426,7.643460574,7.852096081,-1.300216254
5,greedy,20440,7.4,71.4,87.54483428,8,1.050940462,2.329442515,-9.955827761,-5.648880645,-5.452796726,3.48862515,-7.453669884,2.127894027,-5.553637308,2.952067426,7.643460574,7.852096081,-1.300216254
5,greedy,10100,3.6,34.2,42.09334378,4,1.340867555,2.719121162,-10,-3.814885333,-7.420288781,3.058033612,-8.457302678,3.287704143,-4.500612838,3.236653692,6.082885367,6.610321068,-2.69585473
5,greedy,29400,7.8,85.6,102.4318085,8,1.340867555,2.719121162,-10,-3.814885333,-7.420288781,3.058033612,-8.457302678,3.287704143,-4.500612838,3.236653692,6.082885367,6.610321068,-2.69585473
5,greedy,28480,5,66.2,70.62850842,4,0.416204515,2.882218345,-9.133043608,-4.817400139,-5.828580343,2.59660018,-8.808171508,2.965860888,-4.727972122,3.472576884,7.78003265,6.921361287,-3.277341404
5,greedy,63720,10.4,140.6,149.7986479,8,0.416204515,2.882218345,-9.133043608,-4.817400139,-5.828580343,2.59660018,-8.808171508,2.965860888,-4.727972122,3.472576884,7.78003265,6.921361287,-3.277341404
5,greedy,29720,5,64.4,70.50855274,4,1.17057121,3.300532262,-9.767301066,-5.42979749,-6.713153159,2.92314883,-9.797143076,2.497474504,-4.194017502,3.175477165,7.445704887,7.557014947,-2.553282008
,,,,,,,,,,,,,,,,,,,
5,greedy,80,1,0.8,8.987551498,4,0.488631279,0,-2.868620469,-5.990064096,-3.9673728,3.715887455,-9.895551431,3.923934932,-7.568537023,1.241564544,0.326008511,2.692572566,-6.336099507
5,greedy,560,1.4,4.6,12.39809961,4,0.488631279,0,-2.868620469,-5.990064096,-3.9673728,3.715887455,-9.895551431,3.923934932,-7.568537023,1.241564544,0.326008511,2.692572566,-6.336099507
